 sa2_name16, sa2_code16
Melbourne,206041122
Prahran - Windsor,206061136
Collingwood,206071141
Hadfield,210031440
Sunbury,210041240
Sunbury - South,210041241
Fitzroy,206071142
Hughesdale,208021180
Point Cook - South,213051466
Blackburn South,207031162
Surrey Hills (East) - Mont Albert,207031167
Brighton East,208011170
Hampton,208011172
Cheltenham - Highett (West),208011171
Brunswick,206011105
Brunswick East,206011106
Pascoe Vale South,206011109
Docklands,206041118
East Melbourne,206041119
Bentleigh - McKinnon,208021174
Flemington Racecourse,206041120
Aspendale Gardens - Waterways,208031183
South Yarra - West,206041125
Southbank,206041126
Bentleigh East (South),208021427
Armadale,206061135
Murrumbeena,208021181
Braeside,208031184
Carnegie,208021176
Chelsea Heights,208031187
Burwood East,207031166
Coburg,206011108
Brunswick West,206011107
Alphington - Fairfield,206021110
Hawthorn East,207011152
Ormond - Glen Huntly,208021182
Northcote,206021111
West Melbourne,206041127
Thornbury,206021112
Port Melbourne,206051130
Ascot Vale,206031113
Essendon - Aberfeldie,206031114
Flemington,206031115
Kensington (Vic.),206041121
Moonee Ponds,206031116
Carlton,206041117
North Melbourne,206041123
Parkville,206041124
Albert Park,206051128
Elwood,206051129
Port Melbourne Industrial,206051131
South Melbourne,206051132
St Kilda,206051133
St Kilda East,206051134
South Yarra - East,206061137
Toorak,206061138
Abbotsford,206071139
Carlton North - Princes Hill,206071140
Fitzroy North,206071143
Richmond (Vic.),206071144
Yarra - North,206071145
Camberwell,207011149
Ashburton (Vic.),207011146
Balwyn,207011147
Balwyn North,207011148
Kew,207011153
Glen Iris - East,207011150
Hawthorn,207011151
Bentleigh East (North),208021426
Kew East,207011154
Sydenham,213011339
Surrey Hills (West) - Canterbury,207011155
Bulleen,207021156
Doncaster,207021157
Templestowe,207021159
Cheltenham - Highett (East),208031188
Templestowe Lower,207021160
Burwood,207031165
Doncaster East (North),207021424
Doncaster East (South),207021425
Blackburn,207031161
Box Hill,207031163
Caulfield - North,208021177
Box Hill North,207031164
Beaumaris,208011168
Caulfield - South,208021178
Brighton (Vic.),208011169
Elsternwick,208021179
Sandringham - Black Rock,208011173
Carrum - Patterson Lakes,208031185
Chelsea - Bonbeach,208031186
Mentone,208031190
Bundoora - East,209011196
Edithvale - Aspendale,208031189
Cranbourne North,212031302
Moorabbin - Heatherton,208031191
Moorabbin Airport,208031192
Greensborough,209011197
Watsonia,209011204
Mordialloc - Parkdale,208031193
Kingsbury,209021205
Reservoir - East,209021207
Reservoir - West,209021208
Essendon Airport,210011227
Malvern - Glen Iris,208041194
Cranbourne South,212031303
Preston - West,209021429
Heidelberg - Rosanna,209011198
Malvern East,208041195
Eltham,209031209
Hurstbridge,209031210
